2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
101-150,,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",69.4,51+,71.3,51+,86.2,26,,,,,
101-150,51-100,The University of Sheffield,United Kingdom,70.9,51+,67.1,51+,86.1,27,,,,,
101-150,,The University of Warwick,United Kingdom,66.7,51+,73.1,51+,78.6,51+,,,,,
101-150,101-130,Universidad Autónoma de Madrid,Spain,67.5,51+,76.4,47,63.5,51+,,,,,
101-150,101-130,Universidad de los Andes,Colombia,65.0,51+,81.3,22=,51.1,51+,,,,,
101-150,51-100,Universidad Nacional de Colombia,Colombia,70.6,51+,74.9,51+,49.8,51+,,,,,
101-150,101-130,Universitat Autònoma de Barcelona,Spain,67.3,51+,74.3,51+,72.5,51+,,,,,
101-150,,Universität Konstanz,Germany,73.0,51+,53.9,51+,89.9,14,,,,,
101-150,51-100,Universitat Pompeu Fabra (Barcelona),Spain,66.6,51+,70.6,51+,65.3,51+,,,,,
101-150,51-100,Université Paris 1 Panthéon-Sorbonne,France,70.6,51+,74.6,51+,50.0,51+,,,,,
101-150,,University of Antwerp,Belgium,74.4,51+,41.2,51+,84.0,37,,,,,
101-150,,University of Geneva,Switzerland,70.4,51+,65.0,51+,72.5,51+,,,,,
101-150,51-100,University of Kent,United Kingdom,71.0,51+,54.0,51+,82.2,49,,,,,
101-150,51-100,University of Minnesota Twin Cities,United States of America,71.7,51+,58.7,51+,82.4,45=,,,,,
101-150,101-130,"University of North Carolina, Chapel Hill",United States of America,69.2,51+,54.6,51+,89.5,16=,,,,,
101-150,,University of Pittsburgh,United States of America,75.5,51+,36.0,51+,82.8,44,,,,,
101-150,101-130,University of Southampton,United Kingdom,70.1,51+,56.2,51+,91.7,9,,,,,
101-150,101-130,University of Sussex,United Kingdom,69.9,51+,60.6,51+,77.0,51+,,,,,
101-150,101-130,University of Texas at Austin,United States of America,66.3,51+,69.4,51+,80.0,51+,,,,,
101-150,,University of Vienna,Austria,72.4,51+,61.7,51+,73.9,51+,,,,,
101-150,101-130,University of Wisconsin-Madison,United States of America,74.7,51+,58.2,51+,79.1,51+,,,,,
101-150,101-130,Washington University in St. Louis,United States of America,75.5,51+,43.6,51+,64.9,51+,,,,,
101-150,,Xi’an Jiaotong University,China (Mainland),66.3,51+,69.2,51+,87.0,25,,,,,
101-150,,York University,Canada,70.4,51+,64.7,51+,65.7,51+,,,,,
