2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
=117,101-150,South China University of Technology,China (Mainland),63.5,151+,50.6,151+,90.4,53=,94.1,9,53.2,151+,72.7
=119,101-150,University of Technology Sydney,Australia,61.2,151+,61.5,151+,92.3,25=,80.1,105=,74.5,113=,72.6
=119,101-150,University of Wisconsin-Madison,United States of America,65.6,135=,76.5,69=,85.6,145,75.8,146=,64.1,151+,72.6
121,101-150,National Taipei University of Technology,Taiwan,78.2,41,65.6,151+,81.0,151+,71.7,151+,41.6,151+,72.5
122,151-200,Tongji University,China (Mainland),62.7,151+,55.2,151+,86.5,121=,89.1,37=,66.8,151+,72.4
=123,151-200,Jilin University,China (Mainland),59.4,151+,60.5,151+,89.6,66,92.8,15=,59.9,151+,72.3
=123,101-150,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",65.5,138=,73.8,94=,93.9,11,83.3,76=,33.1,151+,72.3
=123,101-150,Tianjin University,China (Mainland),59.9,151+,55.2,151+,88.0,87=,94.8,8,62.9,151+,72.3
=123,=95,Université Grenoble Alpes,France,63.5,151+,74.9,87,76.8,151+,75.6,151+,89.0,14,72.3
=127,101-150,"Grenoble INP, Grenoble Institute of Technology",France,66.6,131,75.6,77=,78.2,151+,70.2,151+,82.8,38=,72.2
=127,101-150,University of Minnesota Twin Cities,United States of America,68.5,112=,69.8,135,84.2,151+,74.9,151+,59.6,151+,72.2
129,101-150,Aalto University,Finland,64.3,151+,57.3,151+,84.1,151+,76.3,136=,86.0,26,72.1
130,101-150,University of Glasgow,United Kingdom,68.1,116=,67.2,151+,80.4,151+,69.8,151+,79.4,60=,71.9
131,101-150,Ludwig-Maximilians-Universität München,Germany,69.6,103=,71.0,116,81.8,151+,69.3,151+,66.6,151+,71.8
=132,101-150,Kyushu University,Japan,68.6,111,65.2,151+,78.6,151+,73.6,151+,72.7,131,71.7
=132,151-200,Shanghai University,China (Mainland),62.1,151+,56.6,151+,84.4,151+,88.5,41,66.2,151+,71.7
=132,101-150,The University of Adelaide,Australia,61.7,151+,67.0,151+,94.1,9,78.0,125=,58.6,151+,71.7
135,101-150,University of Washington,United States of America,61.6,151+,71.2,114,90.4,53=,80.5,103=,56.4,151+,71.6
=136,101-150,The Australian National University,Australia,64.2,151+,76.4,71,84.5,151+,74.9,151+,62.8,151+,71.5
=136,101-150,University of Leeds,United Kingdom,65.7,134,66.0,151+,82.9,151+,72.4,151+,75.5,96=,71.5
=138,101-150,Indian Institute of Technology Kanpur (IITK),India,71.9,84,77.6,57,79.0,151+,70.4,151+,49.5,151+,71.4
=138,101-150,University of Bristol,United Kingdom,68.3,114=,69.0,141,78.8,151+,69.3,151+,75.4,98=,71.4
140,151-200,Wuhan University of Technology,China (Mainland),58.1,151+,39.5,151+,89.9,61=,92.5,21=,76.3,85=,71.3
=141,=97,Swansea University,United Kingdom,63.1,151+,65.7,151+,88.5,81=,71.5,151+,73.9,120,71.2
=141,101-150,The University of Edinburgh,United Kingdom,68.0,118,76.1,72,80.6,151+,68.8,151+,64.8,151+,71.2
143,101-150,North Carolina State University,United States of America,60.3,151+,70.9,117=,88.7,79,82.2,87,56.2,151+,71.0
=144,151-200,Central South University,China (Mainland),58.9,151+,48.0,151+,85.0,151+,92.4,23=,70.1,151+,70.9
=144,151-200,Duke University,United States of America,65.6,135=,73.8,94=,87.4,98=,71.5,151+,54.7,151+,70.9
=144,151-200,Xiamen University,China (Mainland),59.2,151+,53.3,151+,91.4,36=,89.0,39,57.8,151+,70.9
=147,101-150,Queensland University of Technology (QUT),Australia,57.1,151+,63.1,151+,93.3,13=,81.5,91=,66.9,151+,70.8
=147,151-200,Sichuan University,China (Mainland),59.8,151+,53.5,151+,88.6,80,93.4,13,51.2,151+,70.8
=149,151-200,McMaster University,Canada,70.2,94=,69.9,133=,81.9,151+,69.5,151+,53.1,151+,70.7
=149,201-250,Northwestern Polytechnical University,China (Mainland),57.0,151+,50.9,151+,86.9,107=,93.3,14,68.0,151+,70.7
=149,101-150,University of Alberta,Canada,64.3,151+,66.6,151+,83.8,151+,76.2,138=,63.2,151+,70.7
151-200,151-200,Arizona State University,United States of America,62.0,151+,55.9,151+,83.4,151+,73.6,151+,73.7,121=,
151-200,201-250,Brown University,United States of America,65.6,135=,66.6,151+,84.5,151+,68.1,151+,45.2,151+,
151-200,151-200,Cranfield University,United Kingdom,64.9,150,63.4,151+,82.9,151+,64.7,151+,66.1,151+,
151-200,151-200,Curtin University,Australia,53.4,151+,62.4,151+,90.7,44=,77.9,128,70.6,151+,
151-200,201-250,Dalian University of Technology,China (Mainland),56.8,151+,48.5,151+,84.3,151+,87.8,45,60.6,151+,
151-200,251-300,Gwangju Institute of Science and Technology (GIST),Republic of Korea,65.3,141=,63.2,151+,84.2,151+,72.0,151+,48.3,151+,
151-200,151-200,Hokkaido University,Japan,68.1,116=,62.9,151+,77.1,151+,72.0,151+,50.9,151+,
151-200,101-150,Institut National des Sciences Appliquées de Lyon (INSA),France,66.0,133,73.5,99=,75.0,151+,63.5,151+,74.7,108=,
151-200,101-150,Institut Polytechnique de Paris,France,69.0,110,81.4,37=,72.7,151+,58.6,151+,75.6,94=,
151-200,151-200,Istanbul Technical University,Türkiye,65.3,141=,62.6,151+,74.1,151+,60.7,151+,86.4,24=,
151-200,151-200,King's College London,United Kingdom,62.3,151+,70.8,119,84.0,151+,67.4,151+,71.4,144,
151-200,151-200,Lomonosov Moscow State University,Russian Federation,66.7,130,85.6,21=,63.8,151+,65.8,151+,76.5,83=,
151-200,151-200,Loughborough University,United Kingdom,64.5,151+,70.3,125=,81.8,151+,63.5,151+,73.3,124=,
151-200,101-150,Lund University,Sweden,69.2,108,66.3,151+,78.8,151+,65.0,151+,70.1,151+,
151-200,151-200,Nagoya University,Japan,69.5,105=,69.1,139=,72.7,151+,66.8,151+,64.0,151+,
151-200,151-200,Nankai University,China (Mainland),56.6,151+,47.6,151+,94.0,10,90.8,28,58.3,151+,
151-200,151-200,Queen Mary University of London,United Kingdom,59.9,151+,63.9,151+,86.8,112=,72.6,151+,65.2,151+,
151-200,101-150,Sapienza University of Rome,Italy,65.5,138=,80.7,39,74.8,151+,66.8,151+,70.5,151+,
151-200,251-300,Southeast University,China (Mainland),56.3,151+,53.7,151+,83.7,151+,87.9,43=,65.6,151+,
151-200,101-150,Technical University of Darmstadt,Germany,67.9,119,65.2,151+,79.7,151+,70.9,151+,62.0,151+,
151-200,151-200,Technion - Israel Institute of Technology,Israel,69.7,102,59.4,151+,79.5,151+,70.4,151+,53.6,151+,
151-200,101-150,Technische Universität Wien,Austria,70.1,96,70.7,120,74.0,151+,66.3,151+,72.9,128=,
151-200,151-200,The National University of Science and Technology MISIS,Russian Federation,61.4,151+,59.1,151+,72.8,151+,70.4,151+,90.9,11=,
151-200,151-200,The University of Auckland,New Zealand,59.3,151+,73.2,102=,86.0,131=,68.8,151+,59.2,151+,
151-200,151-200,The University of Warwick,United Kingdom,62.7,151+,68.0,151+,81.4,151+,68.1,151+,66.1,151+,
151-200,101-150,Universidad Autónoma de Madrid,Spain,60.2,151+,67.9,151+,83.4,151+,71.3,151+,78.5,69=,
151-200,151-200,Universidad Politécnica de Madrid (UPM),Spain,66.4,132,68.4,149,74.6,151+,62.3,151+,72.3,134=,
151-200,101-150,Universidade de São Paulo,Brazil,63.3,151+,73.5,99=,74.1,151+,70.4,151+,70.7,151+,
151-200,151-200,Universidade Estadual de Campinas (Unicamp),Brazil,63.0,151+,74.0,91,78.3,151+,69.3,151+,58.9,151+,
151-200,151-200,Universitat Autònoma de Barcelona,Spain,58.5,151+,68.2,150,84.0,151+,69.8,151+,67.1,151+,
151-200,101-150,Universitat de Barcelona,Spain,64.3,151+,70.5,122=,82.8,151+,68.1,151+,72.3,134=,
151-200,151-200,Universitat Politècnica de València,Spain,62.6,151+,63.9,151+,78.0,151+,64.7,151+,83.3,36,
151-200,151-200,Université catholique de Louvain (UCLouvain),Belgium,67.8,120=,73.3,101,80.0,151+,62.0,151+,64.3,151+,
151-200,101-150,Université de Montréal,Canada,68.3,114=,73.2,102=,78.4,151+,67.1,151+,64.2,151+,
151-200,151-200,Universiti Putra Malaysia (UPM),Malaysia,60.8,151+,58.8,151+,82.9,151+,75.1,151+,76.6,82,
151-200,201-250,Universiti Sains Malaysia (USM),Malaysia,63.9,151+,59.3,151+,77.2,151+,71.3,151+,82.6,41,
151-200,151-200,Universiti Teknologi Malaysia,Malaysia,65.1,146=,61.0,151+,78.7,151+,73.4,151+,70.6,151+,
151-200,151-200,University of Aveiro,Portugal,60.8,151+,47.2,151+,81.2,151+,70.7,151+,93.4,7,
151-200,201-250,University of Colorado Boulder,United States of America,60.3,151+,67.7,151+,84.3,151+,74.9,151+,53.3,151+,
151-200,101-150,University of Florida,United States of America,59.6,151+,66.0,151+,81.9,151+,74.7,151+,69.9,151+,
151-200,151-200,University of Groningen,Netherlands,58.9,151+,64.7,151+,86.8,112=,70.9,151+,68.5,151+,
151-200,151-200,University of Liverpool,United Kingdom,63.8,151+,60.8,151+,86.4,124,73.0,151+,68.5,151+,
151-200,101-150,"University of Maryland, College Park",United States of America,59.3,151+,65.9,151+,88.8,78,81.1,93=,61.4,151+,
