2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
22,19,University of Pennsylvania,United States of America,83.6,22,72.1,51+,83.9,45=,78.0,39=,,,81.9
=23,=15,Freie Universitaet Berlin,Germany,85.4,18,79.6,42=,74.1,51+,64.8,51+,,,81.6
=23,21,Ruprecht-Karls-Universität Heidelberg,Germany,83.0,26=,69.7,51+,90.9,7,74.2,51+,,,81.6
=25,51-100,Kyoto University,Japan,88.9,11=,67.2,51+,64.2,51+,50.4,51+,,,80.4
=25,=26,University of York,United Kingdom,80.1,35,65.7,51+,86.6,25=,90.5,5,,,80.4
27,=39,The University of Auckland,New Zealand,80.9,32=,79.4,44,92.6,5,64.8,51+,,,80.3
28,22,University of Michigan-Ann Arbor,United States of America,83.4,24=,65.7,51+,80.4,51+,72.1,51+,,,80.2
=29,42,The University of Edinburgh,United Kingdom,79.2,38,81.8,31=,83.3,50=,81.3,24=,,,80.1
=29,=29,The University of Sheffield,United Kingdom,78.3,48,74.7,51+,98.5,2,79.7,30=,,,80.1
31,49,University of Toronto,Canada,80.9,32=,72.5,51+,80.6,51+,79.7,30=,,,79.9
32,=39,The University of Melbourne,Australia,79.5,36,88.7,14,81.7,51+,67.4,51+,,,79.4
33,31,The University of Sydney,Australia,78.6,45=,90.8,7=,79.3,51+,69.9,51+,,,79.0
=34,=29,Aix-Marseille University,France,77.5,51+,73.6,51+,87.0,22,85.6,9=,,,78.9
=34,32,Universidad Nacional Autónoma de México (UNAM),Mexico,83.8,21,65.9,51+,69.2,51+,67.4,51+,,,78.9
36,=36,University of Southampton,United Kingdom,78.9,41=,65.4,51+,83.9,45=,85.6,9=,,,78.7
37,43,University of Glasgow,United Kingdom,78.1,50,64.6,51+,87.5,17,86.9,7=,,,78.6
38,51-100,Princeton University,United States of America,82.0,29,75.9,51+,72.4,51+,61.8,51+,,,78.4
39,47,University of British Columbia,Canada,78.6,45=,73.1,51+,81.9,51+,78.0,39=,,,78.3
40,=50,University of Leicester,United Kingdom,78.0,51+,74.0,51+,82.1,51+,79.7,30=,,,78.2
=41,28,Alma Mater Studiorum - University of Bologna,Italy,79.1,39=,75.9,51+,75.2,51+,76.2,51+,,,78.1
=41,33,University of Copenhagen,Denmark,78.9,41=,59.0,51+,87.1,20=,82.8,15=,,,78.1
43,=44,Universidade de São Paulo,Brazil,79.4,37,65.7,51+,75.5,51+,82.8,15=,,,78.0
44,51-100,Fudan University,China (Mainland),78.6,45=,89.7,12,71.2,51+,64.8,51+,,,77.6
45,=44,The University of Exeter,United Kingdom,77.0,51+,66.1,51+,85.6,30,84.3,11=,,,77.5
46,=36,Ludwig-Maximilians-Universität München,Germany,81.0,31,60.4,51+,76.9,51+,69.9,51+,,,77.4
=47,=50,The University of Queensland,Australia,77.4,51+,69.6,51+,83.4,48=,78.0,39=,,,77.3
=47,35,University of Vienna,Austria,79.1,39=,84.0,22,70.6,51+,64.8,51+,,,77.3
49,51-100,University of Reading,United Kingdom,78.9,41=,56.4,51+,83.4,48=,78.0,39=,,,77.0
50,51-100,Seoul National University,Republic of Korea,83.5,23,73.9,51+,59.9,51+,50.4,51+,,,76.9
51-100,51-100,Aristotle University of Thessaloniki,Greece,69.2,51+,74.6,51+,82.2,51+,72.1,51+,,,
51-100,34,Brown University,United States of America,76.1,51+,73.8,51+,83.3,50=,76.2,51+,,,
51-100,=39,Columbia University,United States of America,74.5,51+,73.4,51+,89.9,8,82.8,15=,,,
51-100,=50,Complutense University of Madrid,Spain,74.9,51+,83.8,23,73.0,51+,74.2,51+,,,
51-100,101-150,Flinders University,Australia,76.7,51+,26.2,51+,76.0,51+,74.2,51+,,,
51-100,51-100,Ghent University,Belgium,68.9,51+,76.1,51+,75.6,51+,67.4,51+,,,
51-100,51-100,Griffith University,Australia,67.7,51+,78.1,48,81.0,51+,76.2,51+,,,
51-100,101-150,Jilin University,China (Mainland),80.4,34,56.6,51+,66.3,51+,54.7,51+,,,
51-100,51-100,KU Leuven,Belgium,68.9,51+,73.0,51+,74.2,51+,69.9,51+,,,
51-100,51-100,La Trobe University,Australia,76.9,51+,80.3,39,71.6,51+,58.5,51+,,,
51-100,51-100,Lomonosov Moscow State University,Russian Federation,72.0,51+,82.1,29=,61.9,51+,58.5,51+,,,
51-100,51-100,Massachusetts Institute of Technology (MIT),United States of America,69.7,51+,91.4,6,75.6,51+,67.4,51+,,,
51-100,51-100,Monash University,Australia,68.9,51+,89.3,13,70.3,51+,58.5,51+,,,
51-100,101-150,National and Kapodistrian University of Athens,Greece,71.3,51+,74.1,51+,76.2,51+,69.9,51+,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,74.2,51+,75.0,51+,75.3,51+,61.8,51+,,,
51-100,51-100,Newcastle University,United Kingdom,72.8,51+,62.6,51+,78.4,51+,69.9,51+,,,
51-100,101-150,Northwest University (China),China (Mainland),81.9,30,0.0,51+,81.3,51+,67.4,51+,,,
51-100,25,Pennsylvania State University,United States of America,75.8,51+,74.1,51+,86.9,23,74.2,51+,,,
51-100,51-100,Pontificia Universidad Católica de Chile (UC),Chile,69.9,51+,69.7,51+,79.2,51+,64.8,51+,,,
51-100,51-100,Pontificia Universidad Católica del Perú,Peru,76.9,51+,67.7,51+,55.0,51+,45.3,51+,,,
51-100,201-240,Sichuan University,China (Mainland),78.2,49,40.8,51+,72.7,51+,61.8,51+,,,
51-100,51-100,Simon Fraser University,Canada,71.9,51+,53.8,51+,84.5,38,78.0,39=,,,
51-100,=44,Sorbonne University,France,70.6,51+,81.2,35,76.3,51+,74.2,51+,,,
51-100,51-100,The University of Adelaide,Australia,73.1,51+,75.5,51+,74.7,51+,64.8,51+,,,
51-100,101-150,The University of Hong Kong,"Hong Kong SAR, China",71.0,51+,87.9,15,77.9,51+,72.1,51+,,,
51-100,51-100,The University of Manchester,United Kingdom,70.9,51+,75.8,51+,82.9,51+,78.0,39=,,,
51-100,51-100,The University of Western Australia,Australia,77.0,51+,66.7,51+,79.4,51+,72.1,51+,,,
51-100,151-200,Tsinghua University,China (Mainland),73.0,51+,83.6,24,66.5,51+,45.3,51+,,,
51-100,,Universidad de Chile,Chile,70.1,51+,57.0,51+,78.1,51+,76.2,51+,,,
51-100,51-100,Università di Padova,Italy,71.3,51+,80.8,37,80.8,51+,82.8,15=,,,
51-100,51-100,Universitat Autònoma de Barcelona,Spain,73.6,51+,65.0,51+,77.6,51+,76.2,51+,,,
51-100,51-100,Universitat de Barcelona,Spain,71.3,51+,68.1,51+,73.4,51+,76.2,51+,,,
51-100,51-100,Université PSL,France,68.2,51+,79.6,42=,82.4,51+,91.6,4,,,
51-100,51-100,University College Dublin,Ireland,74.1,51+,73.0,51+,78.6,51+,64.8,51+,,,
51-100,51-100,University of Aberdeen,United Kingdom,67.9,51+,68.0,51+,81.9,51+,74.2,51+,,,
51-100,51-100,University of Amsterdam,Netherlands,76.9,51+,67.7,51+,85.3,32,76.2,51+,,,
51-100,51-100,University of Bordeaux,France,68.8,51+,75.9,51+,80.2,51+,76.2,51+,,,
51-100,51-100,University of Cologne,Germany,70.7,51+,73.5,51+,73.2,51+,72.1,51+,,,
51-100,51-100,University of Florida,United States of America,68.2,51+,69.6,51+,84.2,42=,78.0,39=,,,
