2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,94.0,10,100.0,1,95.0,9=,96.1,3,69.0,45,92.9
2,3,University of Oxford,United Kingdom,95.6,7,96.0,4,92.2,38=,91.8,17,78.4,10,92.1
3,2,Harvard University,United States of America,95.1,8=,97.4,3,91.5,50=,93.0,15,69.2,43=,91.3
4,5,Massachusetts Institute of Technology (MIT),United States of America,98.4,2,97.7,2,89.9,51+,90.6,21=,68.3,51+,91.2
5,4,University of Cambridge,United Kingdom,96.5,5,95.9,5,91.0,51+,89.5,28=,71.4,29=,90.8
6,7,California Institute of Technology (Caltech),United States of America,93.0,13,91.3,9,88.2,51+,95.5,4,73.4,23,90.3
7,6,"University of California, Berkeley (UCB)",United States of America,95.9,6,90.9,10,88.9,51+,89.4,30=,70.9,35,89.5
8,8,University of Washington,United States of America,97.0,3,64.6,51+,93.5,23=,93.7,13=,69.2,43=,89.3
=9,10,Columbia University,United States of America,88.7,23=,70.3,51+,97.4,3,95.2,6=,74.1,21=,89.2
=9,9,Stanford University,United States of America,96.7,4,95.0,6,90.8,51+,87.7,37,60.6,51+,89.2
11,=32,China University of Geosciences,China (Mainland),100.0,1,52.5,51+,88.9,51+,95.0,8,69.6,40,88.2
12,11,Princeton University,United States of America,90.8,16,84.9,20,93.2,30,90.6,21=,62.7,51+,88.0
13,25,Peking University,China (Mainland),89.9,17,85.1,19,91.2,51+,93.8,12,60.8,51+,87.8
14,=12,University of Colorado Boulder,United States of America,92.6,14,66.7,51+,90.3,51+,95.2,6=,67.5,51+,87.6
15,16,University of Leeds,United Kingdom,89.1,20=,67.1,51+,94.3,16=,89.4,30=,74.8,16,86.8
=16,24,Delft University of Technology,Netherlands,95.1,8=,86.0,15=,86.2,51+,84.8,51+,68.4,49=,86.7
=16,=12,The University of Tokyo,Japan,93.7,11,87.1,13,83.0,51+,88.2,35,71.2,31=,86.7
18,35,Tsinghua University,China (Mainland),82.7,48=,85.3,17,92.8,32=,95.4,5,62.4,51+,86.6
19,=19,Utrecht University,Netherlands,93.3,12,70.1,51+,92.8,32=,86.3,47=,62.8,51+,86.1
20,51-100,Wuhan University,China (Mainland),85.4,35,69.0,51+,91.7,47=,98.6,2,55.6,51+,85.7
21,=32,Imperial College London,United Kingdom,89.7,18=,88.5,11,88.4,51+,85.5,51+,63.3,51+,85.6
=22,51-100,Nanjing University,China (Mainland),86.9,30,75.8,51+,90.3,51+,94.1,11,55.6,51+,85.3
=22,=17,UCL,United Kingdom,83.7,43,78.3,46,88.5,51+,87.2,42=,84.1,6,85.3
=22,29,Université Grenoble Alpes,France,85.5,34,65.9,51+,89.8,51+,89.7,27,81.7,7,85.3
=22,22,"University of California, Los Angeles (UCLA)",United States of America,89.7,18=,77.1,49=,88.9,51+,87.9,36,64.9,51+,85.3
26,=12,The Australian National University,Australia,91.1,15,82.8,28,88.3,51+,84.4,51+,64.2,51+,85.2
27,=27,"University of California, San Diego (UCSD)",United States of America,89.1,20=,69.6,51+,91.6,49,89.5,28=,61.2,51+,85.1
=28,=30,The University of New South Wales (UNSW Sydney),Australia,80.8,51+,82.7,29=,93.1,31,90.0,26,67.3,51+,85.0
=28,=42,Yale University,United States of America,87.8,27=,86.6,14,93.3,27=,84.0,51+,56.4,51+,85.0
30,26,University of Toronto,Canada,87.3,29,83.9,22,90.0,51+,87.0,44,60.7,51+,84.9
31,=19,Sorbonne University,France,73.0,51+,80.5,36=,86.6,51+,92.7,16,99.2,2,84.7
32,21,University of Texas at Austin,United States of America,88.8,22,75.2,51+,86.7,51+,87.5,38=,69.3,42,84.6
33,=17,The University of Edinburgh,United Kingdom,83.6,44,81.5,31=,89.8,51+,85.5,51+,74.7,17,84.5
34,51-100,The University of Melbourne,Australia,87.9,26,84.5,21,90.5,51+,84.9,51+,56.7,51+,84.3
35,15,University of British Columbia,Canada,88.7,23=,83.1,26,88.5,51+,84.4,51+,60.8,51+,84.2
36,=37,Wageningen University & Research,Netherlands,74.2,51+,91.8,7,96.2,7,86.6,45=,69.5,41,84.1
=37,39,Curtin University,Australia,83.9,40=,68.4,51+,88.2,51+,87.3,40=,77.7,11,83.7
=37,23,Pennsylvania State University,United States of America,86.8,31,69.2,51+,88.5,51+,86.6,45=,69.7,39,83.7
39,34,The University of Exeter,United Kingdom,84.4,38,63.2,51+,94.4,14=,87.5,38=,62.5,51+,83.4
40,51-100,The University of Queensland,Australia,86.6,32,80.5,36=,88.8,51+,83.8,51+,60.7,51+,83.3
=41,=40,McGill University,Canada,87.8,27=,77.8,48,90.9,51+,82.1,51+,56.2,51+,83.0
=41,=27,"University of Maryland, College Park",United States of America,73.0,51+,66.6,51+,94.0,20,94.6,10,72.4,26,83.0
43,=37,University of Bristol,United Kingdom,86.5,33,66.0,51+,91.2,51+,83.8,51+,65.6,51+,82.9
=44,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,88.5,25,91.6,8,90.0,51+,79.4,51+,46.9,51+,82.8
=44,36,Texas A&M University,United States of America,82.5,51+,74.4,51+,87.8,51+,84.9,51+,74.3,19,82.8
46,51-100,The University of Hong Kong,"Hong Kong SAR, China",83.9,40=,78.5,45,94.3,16=,84.9,51+,48.6,51+,82.7
47,51-100,Université PSL,France,68.2,51+,76.6,51+,86.5,51+,91.5,18,100.0,1,82.6
48,=30,The University of Arizona,United States of America,81.2,51+,60.2,51+,88.5,51+,88.7,33,77.0,12,82.4
49,=42,The University of Western Australia,Australia,84.1,39,65.0,51+,86.1,51+,85.9,49=,75.6,13,82.3
=50,51-100,Colorado State University,United States of America,82.2,51+,75.5,51+,94.7,12,87.3,40=,45.0,51+,82.2
=50,51-100,University of Chinese Academy of Sciences,China (Mainland),70.4,51+,61.4,51+,87.9,51+,100.0,1,79.2,9,82.2
=50,44,University of Oslo,Norway,83.5,45=,59.9,51+,92.1,41=,85.9,49=,66.7,51+,82.2
51-100,51-100,Arizona State University,United States of America,80.1,51+,67.6,51+,87.6,51+,82.3,51+,64.3,51+,
51-100,101-150,Beijing Normal University,China (Mainland),69.7,51+,50.5,51+,94.5,13,94.8,9,60.5,51+,
51-100,51-100,Christian-Albrechts-University zu Kiel,Germany,78.0,51+,54.3,51+,89.3,51+,78.1,51+,70.3,36,
51-100,101-150,Colorado School of Mines,United States of America,83.9,40=,67.0,51+,85.0,51+,77.6,51+,45.0,51+,
51-100,51-100,Cornell University,United States of America,81.0,51+,82.9,27,92.2,38=,83.1,51+,56.0,51+,
51-100,51-100,Durham University,United Kingdom,80.7,51+,64.4,51+,90.4,51+,85.3,51+,65.2,51+,
51-100,151-200,Fudan University,China (Mainland),68.8,51+,81.0,34,92.6,34,82.5,51+,45.7,51+,
51-100,51-100,Georgia Institute of Technology,United States of America,75.2,51+,72.7,51+,88.9,51+,82.7,51+,50.0,51+,
51-100,51-100,Ghent University,Belgium,72.6,51+,75.5,51+,89.8,51+,81.7,51+,71.6,28,
51-100,51-100,Johns Hopkins University,United States of America,84.8,37,76.1,51+,83.1,51+,80.3,51+,63.7,51+,
51-100,51-100,"KIT, Karlsruhe Institute of Technology",Germany,70.8,51+,71.7,51+,93.5,23=,85.1,51+,66.0,51+,
51-100,101-150,KU Leuven,Belgium,69.8,51+,81.5,31=,85.5,51+,79.1,51+,68.0,51+,
51-100,51-100,Kyoto University,Japan,81.8,51+,72.9,51+,79.9,51+,78.6,51+,66.0,51+,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,73.0,51+,63.1,51+,90.2,51+,83.6,51+,60.5,51+,
51-100,51-100,Lund University,Sweden,78.5,51+,59.8,51+,93.4,25=,82.7,51+,66.8,51+,
51-100,=49,Monash University,Australia,73.2,51+,76.0,51+,94.8,11,90.3,24=,60.7,51+,
51-100,51-100,Newcastle University,United Kingdom,75.9,51+,71.1,51+,93.8,22,81.0,51+,56.2,51+,
51-100,101-150,Seoul National University,Republic of Korea,78.6,51+,83.5,23=,84.7,51+,76.3,51+,54.3,51+,
51-100,=40,Stockholm University,Sweden,80.7,51+,57.7,51+,91.5,50=,85.5,51+,71.1,33=,
51-100,101-150,Sun Yat-sen University,China (Mainland),72.9,51+,59.2,51+,88.1,51+,90.5,23,63.0,51+,
51-100,51-100,Technical University of Denmark,Denmark,78.9,51+,71.0,51+,85.1,51+,76.6,51+,63.3,51+,
51-100,101-150,Technical University of Munich,Germany,67.3,51+,75.7,51+,90.3,51+,83.6,51+,61.8,51+,
51-100,151-200,The Hong Kong Polytechnic University,"Hong Kong SAR, China",74.2,51+,63.1,51+,93.4,25=,83.4,51+,42.5,51+,
51-100,101-150,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",82.7,48=,76.0,51+,94.1,18=,79.6,51+,35.9,51+,
51-100,101-150,The Ohio State University,United States of America,70.4,51+,78.0,47,89.3,51+,83.6,51+,60.0,51+,
51-100,51-100,The University of Adelaide,Australia,75.6,51+,68.7,51+,91.8,46,84.2,51+,66.4,51+,
51-100,51-100,The University of Manchester,United Kingdom,72.3,51+,71.9,51+,88.9,51+,83.8,51+,70.2,37,
51-100,51-100,The University of Sydney,Australia,80.8,51+,78.7,43=,88.1,51+,81.4,51+,62.3,51+,
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,77.4,51+,75.0,51+,76.3,51+,79.6,51+,75.1,14,
51-100,51-100,Universität Bremen,Germany,80.8,51+,54.7,51+,88.8,51+,82.7,51+,67.7,51+,
51-100,51-100,Universitat de Barcelona,Spain,75.7,51+,68.7,51+,88.2,51+,79.6,51+,74.9,15,
51-100,51-100,Universität Potsdam,Germany,79.7,51+,45.4,51+,91.0,51+,81.9,51+,67.3,51+,
51-100,51-100,Université de Montpellier,France,72.2,51+,59.3,51+,88.6,51+,82.9,51+,95.0,3,
51-100,,Université Paris-Saclay,France,62.3,51+,73.8,51+,88.2,51+,91.1,19,84.8,5,
51-100,101-150,Université Paul Sabatier Toulouse III,France,60.6,51+,43.1,51+,91.0,51+,90.3,24=,92.0,4,
51-100,51-100,University of Alberta,Canada,85.0,36,71.4,51+,87.5,51+,82.3,51+,58.1,51+,
51-100,51-100,University of Bergen,Norway,82.1,51+,60.4,51+,89.4,51+,82.5,51+,47.5,51+,
51-100,=49,University of Bern,Switzerland,80.5,51+,58.3,51+,91.3,51+,83.4,51+,65.9,51+,
51-100,=47,"University of California, Davis",United States of America,82.6,50=,81.3,33,89.5,51+,83.8,51+,58.5,51+,
51-100,51-100,"University of California, Irvine",United States of America,72.3,51+,60.3,51+,97.7,2,84.2,51+,53.1,51+,
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States of America,73.2,51+,67.3,51+,94.4,14=,85.1,51+,60.9,51+,
51-100,=47,University of Copenhagen,Denmark,77.0,51+,73.5,51+,88.1,51+,82.5,51+,65.3,51+,
51-100,51-100,University of Illinois at Urbana-Champaign,United States of America,72.8,51+,80.9,35,88.9,51+,81.2,51+,50.8,51+,
51-100,45,University of Michigan-Ann Arbor,United States of America,83.1,47,73.1,51+,86.3,51+,83.1,51+,68.4,49=,
51-100,101-150,University of Science and Technology of China,China (Mainland),73.6,51+,75.2,51+,81.6,51+,82.7,51+,66.4,51+,
