2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,66.8,51+,88.7,13,66.5,51+,58.5,51+,,,
51-100,=39,Universidade de São Paulo,Brazil,64.7,51+,80.1,33,80.1,51+,75.6,51+,,,
51-100,51-100,Universita' IUAV di Venezia,Italy,71.9,43=,55.9,51+,72.9,51+,67.9,51+,,,
51-100,51-100,Universität Stuttgart,Germany,68.8,51+,63.9,51+,76.0,51+,71.2,51+,,,
51-100,51-100,Universiti Teknologi Malaysia,Malaysia,65.5,51+,73.3,51+,89.4,51+,82.6,51+,,,
51-100,51-100,University of Bath,United Kingdom,65.3,51+,68.7,51+,92.0,30=,79.8,51+,,,
51-100,43,University of British Columbia,Canada,64.3,51+,80.0,34=,90.3,51+,84.5,51+,,,
51-100,51-100,University of Florida,United States of America,61.3,51+,66.0,51+,88.3,51+,83.8,51+,,,
51-100,51-100,University of Illinois at Urbana-Champaign,United States of America,69.6,51+,66.7,51+,85.9,51+,83.0,51+,,,
51-100,101-150,University of Liverpool,United Kingdom,62.6,51+,67.9,51+,86.1,51+,75.6,51+,,,
51-100,51-100,University of Nottingham,United Kingdom,65.6,51+,70.1,51+,89.0,51+,82.3,51+,,,
51-100,51-100,University of Porto,Portugal,63.8,51+,52.4,51+,81.4,51+,80.7,51+,,,
51-100,51-100,University of Southern California,United States of America,64.2,51+,63.0,51+,88.5,51+,75.1,51+,,,
51-100,51-100,University of Technology Sydney,Australia,63.2,51+,68.0,51+,90.6,50=,85.2,45=,,,
51-100,50,University of Texas at Austin,United States of America,67.8,51+,67.7,51+,87.3,51+,82.3,51+,,,
51-100,=39,University of Toronto,Canada,67.7,51+,82.9,26,84.8,51+,84.8,47=,,,
51-100,,Wuhan University,China (Mainland),58.8,51+,75.6,51+,92.2,28,90.1,14=,,,
101-150,101-150,Aalborg University,Denmark,57.6,51+,46.7,51+,91.8,34=,84.8,47=,,,
101-150,101-150,Arizona State University,United States of America,56.3,51+,68.8,51+,87.1,51+,83.8,51+,,,
101-150,101-150,Chulalongkorn University,Thailand,63.4,51+,65.1,51+,78.8,51+,67.2,51+,,,
101-150,51-100,Curtin University,Australia,58.3,51+,65.1,51+,93.7,8,88.1,26=,,,
101-150,101-150,Deakin University,Australia,57.5,51+,60.0,51+,88.5,51+,79.8,51+,,,
101-150,151-200,Duy Tan University,Viet Nam,58.4,51+,57.7,51+,98.8,1,78.0,51+,,,
101-150,101-150,Ghent University,Belgium,55.6,51+,70.5,51+,86.0,51+,85.8,39=,,,
101-150,101-150,Heriot-Watt University,United Kingdom,57.7,51+,69.5,51+,83.2,51+,66.4,51+,,,
101-150,101-150,Indian Institute of Technology Bombay (IITB),India,57.9,51+,76.4,51+,86.0,51+,81.1,51+,,,
101-150,101-150,Indian Institute of Technology Madras (IITM),India,57.9,51+,68.1,51+,83.0,51+,79.4,51+,,,
101-150,151-200,Indian Institute of Technology Roorkee (IITR),India,56.9,51+,60.7,51+,85.6,51+,77.1,51+,,,
101-150,51-100,Lund University,Sweden,60.0,51+,54.7,51+,90.9,44=,82.6,51+,,,
101-150,101-150,Massey University,New Zealand,59.1,51+,65.6,51+,83.4,51+,65.7,51+,,,
101-150,151-200,Middle East Technical University,Türkiye,59.9,51+,75.7,51+,79.1,51+,70.5,51+,,,
101-150,101-150,Monash University,Australia,57.0,51+,72.8,51+,90.8,48=,89.3,19=,,,
101-150,101-150,National Cheng Kung University (NCKU),Taiwan,60.2,51+,71.2,51+,86.5,51+,73.5,51+,,,
101-150,101-150,Norwegian University of Science And Technology,Norway,57.4,51+,57.3,51+,86.8,51+,84.1,51+,,,
101-150,101-150,Oxford Brookes University,United Kingdom,59.6,51+,77.3,46=,78.5,51+,69.9,51+,,,
101-150,51-100,Queensland University of Technology (QUT),Australia,58.8,51+,60.4,51+,88.9,51+,84.8,47=,,,
101-150,101-150,Rice University,United States of America,61.5,51+,63.1,51+,70.6,51+,63.2,51+,,,
101-150,,Sun Yat-sen University,China (Mainland),55.9,51+,65.8,51+,90.9,44=,87.1,29=,,,
101-150,151-200,Sungkyunkwan University (SKKU),Republic of Korea,61.8,51+,65.1,51+,82.0,51+,64.9,51+,,,
101-150,101-150,Taylor's University,Malaysia,64.3,51+,70.4,51+,66.3,51+,59.5,51+,,,
101-150,151-200,Technical University of Darmstadt,Germany,62.3,51+,51.3,51+,77.6,51+,65.7,51+,,,
101-150,101-150,Technische Universität Dresden,Germany,58.4,51+,57.3,51+,83.9,51+,82.3,51+,,,
101-150,151-200,The Ohio State University,United States of America,56.8,51+,69.8,51+,88.3,51+,77.1,51+,,,
101-150,101-150,The University of Adelaide,Australia,57.9,51+,64.5,51+,92.1,29,81.5,51+,,,
101-150,101-150,"The University of Newcastle, Australia (UON)",Australia,56.9,51+,68.8,51+,87.1,51+,70.5,51+,,,
101-150,151-200,Tohoku University,Japan,59.4,51+,64.2,51+,79.0,51+,65.7,51+,,,
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,61.7,51+,83.6,23,63.3,51+,57.4,51+,,,
101-150,51-100,Universidad de Chile,Chile,57.9,51+,73.1,51+,81.3,51+,72.9,51+,,,
101-150,51-100,Universidad de los Andes,Colombia,61.2,51+,83.0,25,73.6,51+,65.7,51+,,,
101-150,101-150,Universidad de Sevilla,Spain,58.4,51+,60.0,51+,80.4,51+,75.1,51+,,,
101-150,101-150,Universidad Nacional de Colombia,Colombia,59.1,51+,79.3,37,72.1,51+,65.7,51+,,,
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,58.6,51+,69.7,51+,79.1,51+,69.9,51+,,,
101-150,101-150,Universitat Politècnica de València,Spain,62.6,51+,60.2,51+,75.4,51+,74.0,51+,,,
101-150,51-100,Universiti Malaya (UM),Malaysia,58.9,51+,72.6,51+,89.7,51+,83.8,51+,,,
101-150,101-150,Universiti Sains Malaysia (USM),Malaysia,55.6,51+,69.3,51+,85.0,51+,79.8,51+,,,
101-150,,University of Amsterdam,Netherlands,58.7,51+,75.3,51+,85.6,51+,76.6,51+,,,
101-150,101-150,University of Glasgow,United Kingdom,59.0,51+,68.9,51+,87.4,51+,74.0,51+,,,
101-150,101-150,University of Illinois at Chicago (UIC),United States of America,61.6,51+,57.2,51+,84.9,51+,74.0,51+,,,
101-150,101-150,University of Leeds,United Kingdom,53.5,51+,71.7,51+,92.9,17,89.0,21=,,,
101-150,151-200,University of Minnesota Twin Cities,United States of America,58.5,51+,61.2,51+,92.3,25=,80.7,51+,,,
101-150,51-100,University of Reading,United Kingdom,60.2,51+,73.6,51+,88.7,51+,75.1,51+,,,
101-150,101-150,University of South Australia,Australia,60.6,51+,57.2,51+,86.6,51+,77.1,51+,,,
101-150,101-150,University of Washington,United States of America,60.4,51+,60.0,51+,87.4,51+,79.4,51+,,,
101-150,101-150,University of Waterloo,Canada,60.2,51+,63.4,51+,89.9,51+,81.9,51+,,,
101-150,51-100,Virginia Polytechnic Institute and State University,United States of America,59.8,51+,57.1,51+,87.1,51+,83.0,51+,,,
101-150,101-150,Wageningen University & Research,Netherlands,57.6,51+,82.0,29=,91.6,38,74.0,51+,,,
101-150,101-150,Waseda University,Japan,60.3,51+,70.0,51+,75.1,51+,63.2,51+,,,
151-200,101-150,Aarhus University,Denmark,53.8,51+,62.0,51+,90.6,50=,74.6,51+,,,
151-200,151-200,Alma Mater Studiorum - University of Bologna,Italy,54.1,51+,76.3,51+,77.9,51+,77.6,51+,,,
151-200,201-240,Bandung Institute of Technology (ITB),Indonesia,59.5,51+,63.6,51+,67.0,51+,64.9,51+,,,
151-200,,Beijing Normal University,China (Mainland),50.5,51+,54.1,51+,93.3,13=,85.5,42=,,,
151-200,,Boston University,United States of America,52.9,51+,71.5,51+,79.3,51+,66.4,51+,,,
151-200,151-200,Cairo University,Egypt,54.4,51+,74.4,51+,79.3,51+,69.2,51+,,,
151-200,201-240,Chung-Ang University (CAU),Republic of Korea,57.5,51+,56.1,51+,89.6,51+,71.2,51+,,,
