2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
=27,32,University College Cork,Ireland,76.1,35=,73.7,51+,91.4,15,87.9,42=,,,84.0
=27,18,"University of California, Los Angeles (UCLA)",United States of America,80.1,21=,82.2,27,83.5,51+,89.0,32=,,,84.0
30,33,McMaster University,Canada,77.4,32,83.4,23,86.2,51+,88.3,37=,,,83.9
31,30,KU Leuven,Belgium,74.1,47=,63.2,51+,96.7,3,86.3,49=,,,83.5
32,51-100,Sultan Qaboos University,Oman,64.0,51+,61.9,51+,100.0,1,91.2,20=,,,82.8
33,29,Griffith University,Australia,74.8,42=,67.7,51+,86.9,51+,91.2,20=,,,82.6
34,40,The University of Hong Kong,"Hong Kong SAR, China",78.8,28=,90.8,8,85.3,51+,80.4,51+,,,82.4
=35,50,Case Western Reserve University,United States of America,78.8,28=,79.0,41,84.2,51+,85.0,51+,,,82.3
=35,28,University of Pittsburgh,United States of America,78.9,27,74.0,51+,83.4,51+,87.5,44=,,,82.3
37,51-100,Yonsei University,Republic of Korea,85.3,13=,74.7,51+,82.0,51+,81.9,51+,,,82.2
38,51-100,Peking University,China (Mainland),72.8,51+,79.7,37=,85.0,51+,89.4,30=,,,82.1
39,36,University of Turku,Finland,76.1,35=,47.5,51+,91.0,17=,89.8,29,,,81.8
40,=44,The Ohio State University,United States of America,75.3,39=,74.9,51+,81.3,51+,89.0,32=,,,81.2
41,=44,McGill University,Canada,75.8,37=,83.2,24,82.0,51+,84.6,51+,,,81.0
=42,=44,La Trobe University,Australia,65.5,51+,65.9,51+,92.2,12,90.1,27=,,,80.9
=42,=34,Queensland University of Technology (QUT),Australia,74.8,42=,73.4,51+,85.9,51+,84.6,51+,,,80.9
44,51-100,University College Dublin,Ireland,79.3,24=,75.4,51+,84.3,51+,79.4,51+,,,80.4
45,37,The University of Queensland,Australia,66.0,51+,77.6,45,84.7,51+,91.2,20=,,,80.3
46,=42,The University of Edinburgh,United Kingdom,74.5,45,76.1,51+,87.0,51+,80.4,51+,,,80.2
=47,48,"The University of Newcastle, Australia (UON)",Australia,65.5,51+,68.9,51+,87.7,51+,90.8,23=,,,80.1
=47,=34,Universidade de São Paulo,Brazil,68.0,51+,76.4,48,81.7,51+,91.9,15=,,,80.1
=47,51-100,University of Jordan,Jordan,62.9,51+,90.7,9,90.7,19,83.3,51+,,,80.1
50,=42,Pennsylvania State University,United States of America,77.3,33,81.6,31,80.3,51+,81.9,51+,,,80.0
51-100,51-100,Aarhus University,Denmark,56.6,51+,62.8,51+,87.6,51+,88.6,35=,,,
51-100,=44,Australian Catholic University,Australia,64.5,51+,59.2,51+,93.3,10,87.9,42=,,,
51-100,51-100,Boston College,United States of America,74.7,44,46.6,51+,88.3,44=,78.4,51+,,,
51-100,101-150,Central South University,China (Mainland),74.0,49,47.6,51+,85.8,51+,80.9,51+,,,
51-100,101-150,Chiang Mai University,Thailand,75.0,41,70.3,51+,83.2,51+,72.6,51+,,,
51-100,51-100,Chung-Ang University (CAU),Republic of Korea,70.0,51+,56.3,51+,88.0,51+,81.9,51+,,,
51-100,51-100,Curtin University,Australia,61.5,51+,64.7,51+,87.4,51+,85.4,51+,,,
51-100,41,Deakin University,Australia,66.2,51+,71.1,51+,86.1,51+,87.1,46=,,,
51-100,101-150,Ewha Womans University,Republic of Korea,73.0,51+,64.5,51+,81.0,51+,76.2,51+,,,
51-100,51-100,Flinders University,Australia,63.6,51+,71.1,51+,88.5,39=,88.3,37=,,,
51-100,51-100,Fudan University,China (Mainland),77.1,34,75.6,51+,80.7,51+,77.9,51+,,,
51-100,51-100,George Washington University,United States of America,67.4,51+,76.2,50,86.2,51+,84.1,51+,,,
51-100,51-100,Ghent University,Belgium,64.7,51+,45.1,51+,87.3,51+,87.1,46=,,,
51-100,51-100,Huazhong University of Science and Technology,China (Mainland),57.9,51+,63.8,51+,92.0,13,84.6,51+,,,
51-100,101-150,Korea University,Republic of Korea,74.1,47=,68.1,51+,79.6,51+,75.1,51+,,,
51-100,51-100,Lund University,Sweden,64.1,51+,61.0,51+,86.0,51+,83.7,51+,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,66.1,51+,78.3,43,83.3,51+,80.9,51+,,,
51-100,51-100,Peking Union Medical College,China (Mainland),68.3,51+,49.1,51+,85.9,51+,84.6,51+,,,
51-100,51-100,Queen's University at Kingston,Canada,61.2,51+,75.7,51+,94.7,7,77.9,51+,,,
51-100,51-100,Queen's University Belfast,United Kingdom,70.6,51+,64.2,51+,87.3,51+,80.9,51+,,,
51-100,51-100,Sapienza University of Rome,Italy,66.2,51+,67.7,51+,90.0,24=,83.3,51+,,,
51-100,51-100,Seoul National University,Republic of Korea,72.3,51+,76.8,47,85.7,51+,81.9,51+,,,
51-100,101-150,Shanghai Jiao Tong University,China (Mainland),66.3,51+,81.3,32,80.4,51+,80.4,51+,,,
51-100,51-100,Sichuan University,China (Mainland),60.2,51+,60.9,51+,86.7,51+,87.5,44=,,,
51-100,101-150,Sun Yat-sen University,China (Mainland),67.4,51+,57.1,51+,87.9,51+,84.6,51+,,,
51-100,51-100,The University of Adelaide,Australia,58.9,51+,72.2,51+,94.2,9,87.1,46=,,,
51-100,51-100,The University of Auckland,New Zealand,64.8,51+,80.2,34=,87.2,51+,85.9,51+,,,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,59.8,51+,58.6,51+,97.8,2,83.7,51+,,,
51-100,51-100,Universitat de Barcelona,Spain,63.2,51+,79.6,40,86.7,51+,86.3,49=,,,
51-100,51-100,University of Birmingham,United Kingdom,62.8,51+,74.8,51+,84.8,51+,80.9,51+,,,
51-100,51-100,University of Calgary,Canada,58.6,51+,86.6,17,84.0,51+,85.9,51+,,,
51-100,51-100,University of Eastern Finland,Finland,65.5,51+,55.8,51+,88.8,36=,80.4,51+,,,
51-100,51-100,University of Galway,Ireland,64.9,51+,63.1,51+,85.4,51+,78.9,51+,,,
51-100,51-100,University of Glasgow,United Kingdom,69.8,51+,72.9,51+,87.2,51+,76.8,51+,,,
51-100,51-100,University of Illinois at Chicago (UIC),United States of America,79.6,23,58.1,51+,81.3,51+,83.7,51+,,,
