2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
151-200,201-240,University of Illinois at Chicago (UIC),United States of America,68.2,51+,59.8,51+,78.1,51+,64.6,51+,,,
151-200,101-150,"University of Maryland, College Park",United States of America,66.6,51+,60.4,51+,84.6,51+,75.6,51+,,,
151-200,151-200,University of Minho,Portugal,68.7,51+,52.4,51+,82.9,51+,84.0,47=,,,
151-200,151-200,University of Minnesota Twin Cities,United States of America,62.8,51+,61.6,51+,82.1,51+,67.0,51+,,,
151-200,151-200,University of Strathclyde,United Kingdom,61.8,51+,63.4,51+,83.6,51+,75.2,51+,,,
151-200,201-240,University of Twente,Netherlands,64.4,51+,60.0,51+,84.1,51+,68.1,51+,,,
151-200,,Warsaw University of Technology,Poland,64.9,51+,64.1,51+,74.6,51+,66.4,51+,,,
151-200,101-150,Western University,Canada,59.3,51+,64.0,51+,85.0,51+,76.0,51+,,,
201-275,,Aarhus University,Denmark,57.3,51+,60.2,51+,89.2,38,73.5,51+,,,
201-275,151-200,Ain Shams University,Egypt,61.2,51+,64.4,51+,79.0,51+,65.3,51+,,,
201-275,151-200,American University of Beirut (AUB),Lebanon,58.2,51+,68.2,51+,67.1,51+,54.8,51+,,,
201-275,151-200,American University of Sharjah,United Arab Emirates,53.4,51+,71.2,51+,76.8,51+,65.3,51+,,,
201-275,,Beihang University (former BUAA),China (Mainland),58.2,51+,49.7,51+,85.7,51+,82.9,50=,,,
201-275,,Beijing Jiaotong University,China (Mainland),54.2,51+,56.2,51+,82.3,51+,84.9,39=,,,
201-275,,"Birla Institute of Technology and Science, Pilani",India,55.1,51+,63.8,51+,77.4,51+,63.4,51+,,,
201-275,201-240,Boğaziçi University,Türkiye,57.9,51+,66.2,51+,70.2,51+,62.0,51+,,,
201-275,,Brno University of Technology,Czechia,60.3,51+,58.9,51+,76.2,51+,65.9,51+,,,
201-275,151-200,Budapest University of Technology and Economics,Hungary,63.2,51+,58.6,51+,77.3,51+,67.0,51+,,,
201-275,201-240,Central South University,China (Mainland),61.9,51+,47.0,51+,86.2,51+,91.8,9,,,
201-275,,Chung-Ang University (CAU),Republic of Korea,57.5,51+,58.9,51+,81.0,51+,68.7,51+,,,
201-275,151-200,Colorado State University,United States of America,62.9,51+,53.9,51+,80.4,51+,70.2,51+,,,
201-275,,Concordia University,Canada,54.2,51+,54.1,51+,84.9,51+,79.3,51+,,,
201-275,201-240,Deakin University,Australia,54.8,51+,59.9,51+,87.6,51+,74.3,51+,,,
201-275,,Duke University,United States of America,66.6,51+,71.9,51+,60.5,51+,51.9,51+,,,
201-275,,Duy Tan University,Viet Nam,41.5,51+,58.9,51+,100.0,1,84.9,39=,,,
201-275,,Ecole Centrale de Lyon,France,50.5,51+,70.7,51+,79.3,51+,65.3,51+,,,
201-275,201-240,Graz University of Technology,Austria,67.3,51+,52.0,51+,79.8,51+,68.7,51+,,,
201-275,,"Grenoble INP, Grenoble Institute of Technology",France,54.9,51+,69.3,51+,78.1,51+,67.0,51+,,,
201-275,151-200,Indian Institute of Technology Guwahati (IITG),India,65.4,51+,56.9,51+,76.1,51+,69.2,51+,,,
201-275,151-200,Iowa State University,United States of America,51.4,51+,55.9,51+,86.1,51+,79.3,51+,,,
201-275,,Kyung Hee University,Republic of Korea,57.5,51+,57.2,51+,83.0,51+,68.7,51+,,,
201-275,201-240,Kyushu University,Japan,62.5,51+,67.6,51+,73.5,51+,62.7,51+,,,
201-275,201-240,Lehigh University,United States of America,65.9,51+,47.9,51+,77.6,51+,71.7,51+,,,
201-275,201-240,Leibniz University Hannover,Germany,67.3,51+,55.6,51+,78.7,51+,69.2,51+,,,
201-275,,Lomonosov Moscow State University,Russian Federation,60.0,51+,88.7,11,46.9,51+,40.2,51+,,,
201-275,201-240,National Taipei University of Technology,Taiwan,64.0,51+,59.6,51+,71.2,51+,59.1,51+,,,
201-275,151-200,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,59.3,51+,63.3,51+,79.9,51+,69.7,51+,,,
201-275,151-200,National University of Sciences And Technology (NUST) Islamabad,Pakistan,55.0,51+,66.3,51+,84.0,51+,73.9,51+,,,
201-275,,National Yang Ming Chiao Tung University,Taiwan,55.5,51+,66.3,51+,72.1,51+,64.0,51+,,,
201-275,,Oregon State University,United States of America,64.7,51+,42.9,51+,81.5,51+,73.9,51+,,,
201-275,201-240,Politecnico di Bari,Italy,59.9,51+,50.9,51+,80.6,51+,69.7,51+,,,
