2025,2024,Institution,Country / Territory,Academic,AR Rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
98,96,University of Göttingen,Germany,72.4,122=,66.4,180=,85.8,123=,67.4,180=,77.6,36=,74.0
=99,110,Alma Mater Studiorum - University of Bologna,Italy,71.5,134,79.3,45,84.8,159=,71.0,129=,61.7,180=,73.9
=99,93,The University of Adelaide,Australia,76.4,75=,67.8,154=,85.8,123=,68.5,168=,57.3,257,73.9
=99,105,Università di Padova,Italy,70.6,145=,77.5,59=,83.6,191=,71.4,121=,69.1,101=,73.9
=102,103,Lund University,Sweden,72.0,127=,69.9,126=,83.8,184=,69.3,155=,72.3,75=,73.6
=102,117,University of Cape Town,South Africa,71.1,138,63.2,233=,84.1,177=,67.9,177,84.5,14=,73.6
=104,105,University of Basel,Switzerland,68.7,174=,58.4,314,86.7,107=,72.3,113=,84.0,16,73.5
=104,100,Vrije Universiteit Amsterdam,Netherlands,68.1,185=,63.7,223=,89.6,50,77.4,65=,65.2,140=,73.5
106,110,Mahidol University,Thailand,81.8,39=,61.8,256=,76.9,361=,59.4,341=,70.9,88=,73.3
=107,133,Aarhus University,Denmark,70.0,157=,67.8,154=,83.9,180=,73.6,103,69.3,99=,73.2
=107,117,Maastricht University,Netherlands,71.2,135=,63.1,236=,86.4,113,73.0,105=,65.6,136=,73.2
=109,105,Eberhard Karls Universität Tübingen,Germany,70.5,148,61.5,263,85.5,137=,70.7,138,75.4,50=,73.1
=109,117,"Nanyang Technological University, Singapore (NTU)",Singapore,70.2,152=,89.7,11,86.0,117=,70.9,133=,46.8,401+,73.1
=109,103,Université de Montréal,Canada,68.8,168=,73.1,92=,85.1,148=,73.4,104,65.8,134=,73.1
=109,112,University of Bern,Switzerland,67.3,203,60.0,291,87.6,85=,75.7,82=,75.2,53=,73.1
113,135,King Saud University,Saudi Arabia,76.2,78,63.6,226=,79.5,296,66.8,186=,69.0,103,73.0
=114,117,The University of Western Australia,Australia,72.6,119=,61.1,268=,84.5,167=,70.3,142=,68.3,112,72.9
=114,101,University of Oslo,Norway,68.6,177=,60.8,276=,86.0,117=,73.7,101=,74.5,60=,72.9
=116,105,Pennsylvania State University,United States of America,71.7,132,70.8,117,80.4,272=,68.5,168=,72.3,75=,72.8
=116,105,University of Southampton,United Kingdom,66.1,221,67.1,169,90.1,46=,72.3,113=,72.0,79=,72.8
=118,128,Icahn School of Medicine at Mount Sinai,United States of America,66.0,222=,41.2,401+,93.9,8=,82.9,29,68.0,115=,72.7
=118,124,Radboud University,Netherlands,66.4,215=,60.1,287=,87.7,83=,75.2,88,75.6,48,72.7
=118,128,Sapienza University of Rome,Italy,69.7,160,79.1,46,81.2,247=,70.3,142=,65.8,134=,72.7
=118,113,The University of Osaka,Japan,81.2,43,73.1,92=,79.3,300=,64.8,229=,41.1,401+,72.7
=118,133,Universiti Malaya (UM),Malaysia,79.9,47=,67.7,157=,77.3,357=,59.1,353=,67.2,123=,72.7
123,124,University of Geneva,Switzerland,68.6,177=,63.6,226=,85.2,145=,69.9,148=,77.9,34,72.6
=124,124,Universidad Nacional Autónoma de México (UNAM),Mexico,83.2,33=,78.9,47,69.5,401+,56.7,397=,60.8,196=,72.5
=124,117,University of Otago,New Zealand,76.6,74,62.0,249=,81.9,231=,62.8,269=,66.7,126=,72.5
=126,127,The University of Texas Southwestern Medical Center at Dallas,United States of America,71.6,133,44.3,401+,91.3,28,79.0,52=,52.9,337=,72.4
=126,113,University of Calgary,Canada,68.6,177=,66.7,174=,84.9,152=,72.5,111=,68.4,111,72.4
=128,116,Michigan State University,United States of America,72.6,119=,64.9,199=,80.1,282=,67.2,182=,71.7,82=,72.2
=128,113,The University of Sheffield,United Kingdom,68.8,168=,66.6,177,87.5,89=,68.7,165=,68.2,113,72.2
130,146,Pontificia Universidad Católica de Chile (UC),Chile,82.2,38,75.6,70=,75.7,388=,54.1,401+,56.3,274=,72.0
131,130,Cardiff University,United Kingdom,70.1,155=,64.6,204=,87.5,89=,67.2,182=,64.1,152=,71.9
=132,123,Université de Montpellier,France,67.7,196=,55.9,365=,80.9,256=,68.7,165=,90.6,7,71.7
=132,130,University of Gothenburg,Sweden,68.1,185=,55.3,373=,87.5,89=,72.9,107=,68.5,108=,71.7
134,138,Complutense University of Madrid,Spain,70.4,149,71.1,113=,83.1,204=,66.3,196=,63.6,156=,71.5
=135,143,Freie Universitaet Berlin,Germany,68.8,168=,70.9,116,84.5,167=,65.7,208=,67.4,121=,71.4
=135,148,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,66.4,215=,61.9,253=,85.8,123=,71.2,125=,72.3,75=,71.4
