2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
51-100,51-100,University of South Australia,Australia,65.0,51+,68.4,51+,87.2,28,87.2,25=,,,
51-100,51-100,University of Southern California,United States of America,73.1,51+,73.7,51+,83.5,51+,83.9,46=,,,
51-100,51-100,University of Southern Denmark (SDU),Denmark,70.3,51+,52.3,51+,83.9,51+,88.8,16,,,
51-100,51-100,University of Tsukuba,Japan,79.3,36,52.8,51+,66.1,51+,62.8,51+,,,
51-100,51-100,University of Waterloo,Canada,73.2,51+,74.7,51+,77.6,51+,69.5,51+,,,
51-100,43,Victoria University,Australia,73.4,51+,69.9,51+,87.3,27,85.8,32=,,,
51-100,51-100,Waseda University,Japan,75.5,51+,70.8,51+,74.0,51+,73.1,51+,,,
101-150,101-140,Alma Mater Studiorum - University of Bologna,Italy,69.1,51+,58.6,51+,82.5,51+,78.2,51+,,,
101-150,51-100,Arizona State University,United States of America,67.6,51+,72.7,51+,81.4,51+,73.1,51+,,,
101-150,101-140,Brock University,Canada,69.7,51+,61.6,51+,78.6,51+,62.8,51+,,,
101-150,101-140,Chulalongkorn University,Thailand,68.2,51+,76.8,47=,79.8,51+,71.4,51+,,,
101-150,,Eberhard Karls Universität Tübingen,Germany,66.1,51+,69.6,51+,81.4,51+,64.1,51+,,,
101-150,101-140,Erasmus University Rotterdam,Netherlands,66.2,51+,46.9,51+,87.0,30,87.2,25=,,,
101-150,101-140,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,69.0,51+,69.8,51+,79.4,51+,62.8,51+,,,
101-150,,Fudan University,China (Mainland),66.3,51+,82.3,25,72.2,51+,60.0,51+,,,
101-150,51-100,Indiana University Bloomington,United States of America,68.3,51+,63.9,51+,80.5,51+,74.6,51+,,,
101-150,,Kyung Hee University,Republic of Korea,63.2,51+,69.1,51+,78.2,51+,71.4,51+,,,
101-150,,Mahidol University,Thailand,65.4,51+,75.3,51+,74.5,51+,66.4,51+,,,
101-150,,National Cheng Kung University (NCKU),Taiwan,67.3,51+,69.3,51+,70.9,51+,66.4,51+,,,
101-150,51-100,National Taiwan Normal University,Taiwan,71.0,51+,67.7,51+,78.9,51+,60.0,51+,,,
101-150,101-140,Nottingham Trent University,United Kingdom,65.6,51+,62.3,51+,85.3,46=,69.5,51+,,,
101-150,101-140,Oxford Brookes University,United Kingdom,64.5,51+,73.5,51+,79.3,51+,66.4,51+,,,
101-150,,Qatar University,Qatar,66.0,51+,67.5,51+,82.5,51+,69.5,51+,,,
101-150,101-140,Sungkyunkwan University (SKKU),Republic of Korea,69.1,51+,69.4,51+,77.9,51+,64.1,51+,,,
101-150,101-140,The University of Georgia,United States of America,67.0,51+,71.4,51+,80.8,51+,73.1,51+,,,
101-150,,The University of Osaka,Japan,70.8,51+,64.8,51+,71.5,51+,56.9,51+,,,
101-150,101-140,Ulster University,United Kingdom,61.9,51+,69.9,51+,92.4,2,75.4,51+,,,
101-150,,Universidad Autónoma de Madrid,Spain,68.1,51+,62.4,51+,78.8,51+,76.8,51+,,,
101-150,,Universitat Autònoma de Barcelona,Spain,67.5,51+,63.5,51+,75.5,51+,68.5,51+,,,
101-150,,Université catholique de Louvain (UCLouvain),Belgium,67.5,51+,61.6,51+,75.9,51+,68.5,51+,,,
101-150,101-140,Universiti Kebangsaan Malaysia (UKM),Malaysia,72.5,51+,60.8,51+,65.1,51+,56.9,51+,,,
101-150,101-140,Universiti Malaya (UM),Malaysia,69.8,51+,74.3,51+,75.9,51+,65.3,51+,,,
101-150,,University of Bern,Switzerland,68.9,51+,33.3,51+,84.2,51+,71.4,51+,,,
101-150,101-140,University of Connecticut,United States of America,68.3,51+,53.8,51+,84.1,51+,77.5,51+,,,
101-150,101-140,University of Delaware,United States of America,64.4,51+,52.3,51+,87.4,25=,89.2,14=,,,
101-150,,University of Iowa,United States of America,62.2,51+,56.3,51+,89.1,10,78.8,51+,,,
101-150,,University of Leicester,United Kingdom,64.4,51+,52.8,51+,85.7,43=,76.1,51+,,,
101-150,101-140,University of Lisbon,Portugal,64.0,51+,63.6,51+,80.7,51+,79.4,51+,,,
101-150,101-140,"University of Maryland, College Park",United States of America,70.0,51+,68.8,51+,70.6,51+,55.1,51+,,,
101-150,101-140,University of Milan,Italy,64.3,51+,50.4,51+,81.3,51+,81.2,51+,,,
101-150,101-140,University of Minnesota Twin Cities,United States of America,67.5,51+,60.0,51+,82.4,51+,79.4,51+,,,
101-150,101-140,University of Oregon,United States of America,72.8,51+,63.4,51+,76.8,51+,61.5,51+,,,
101-150,51-100,University of Oslo,Norway,62.1,51+,59.8,51+,87.7,21=,90.0,12,,,
101-150,,University of Pittsburgh,United States of America,61.6,51+,51.7,51+,86.2,37,90.8,10,,,
101-150,51-100,University of Porto,Portugal,70.2,51+,50.5,51+,78.0,51+,80.0,51+,,,
101-150,101-140,University of Stirling,United Kingdom,64.1,51+,64.6,51+,81.6,51+,68.5,51+,,,
101-150,,University of Victoria (UVic),Canada,69.1,51+,49.4,51+,90.9,4,67.5,51+,,,
101-150,,University of Vienna,Austria,70.8,51+,61.0,51+,75.4,51+,66.4,51+,,,
101-150,51-100,University of Virginia,United States of America,69.5,51+,56.4,51+,80.5,51+,74.6,51+,,,
101-150,51-100,University of Waikato,New Zealand,67.7,51+,68.3,51+,80.7,51+,70.5,51+,,,
101-150,51-100,University of Wisconsin-Madison,United States of America,63.1,51+,55.5,51+,84.8,51+,82.9,51+,,,
101-150,101-140,University of Wollongong,Australia,61.7,51+,77.7,44,81.5,51+,78.8,51+,,,
101-150,51-100,Utrecht University,Netherlands,67.5,51+,46.1,51+,87.4,25=,81.8,51+,,,
101-150,101-140,Vrije Universiteit Brussel (VUB),Belgium,67.9,51+,38.0,51+,90.0,6=,87.2,25=,,,
101-150,,West Virginia University,United States of America,67.2,51+,43.2,51+,79.9,51+,73.9,51+,,,
101-150,101-140,Western Sydney University,Australia,67.6,51+,58.5,51+,85.7,43=,79.4,51+,,,
101-150,101-140,Zhejiang University,China (Mainland),70.1,51+,76.7,49,74.1,51+,58.5,51+,,,
