2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
101-150,101-150,New York University (NYU),United States of America,48.9,51+,39.7,51+,69.2,51+,,,,,
101-150,51-100,North Carolina State University,United States of America,56.1,51+,31.8,51+,62.0,51+,,,,,
101-150,,Pontificia Universidad Católica del Perú,Peru,57.4,51+,35.6,51+,,,,,,,
101-150,101-150,Prince of Songkla University,Thailand,53.5,51+,36.3,51+,74.5,51+,,,,,
101-150,51-100,RUDN University,Russian Federation,46.2,51+,43.9,51+,47.4,51+,,,,,
101-150,,State Tourism and Hotel Management School (SSAT),Switzerland,39.8,51+,55.7,27,,,,,,,
101-150,151-160,"Sup De Co, La Rochelle",France,50.0,51+,43.9,51+,,,,,,,
101-150,51-100,Texas Tech University,United States of America,54.0,51+,34.8,51+,69.5,51+,,,,,
101-150,,The Ohio State University,United States of America,48.5,51+,36.9,51+,86.1,12=,,,,,
101-150,101-150,The University of Manchester,United Kingdom,50.3,51+,36.8,51+,65.3,51+,,,,,
101-150,151-160,"The University of Tennessee, Knoxville",United States of America,42.8,51+,42.9,51+,72.2,51+,,,,,
101-150,51-100,Ulster University,United Kingdom,50.7,51+,37.8,51+,71.0,51+,,,,,
101-150,101-150,Universidad de Chile,Chile,48.0,51+,40.5,51+,82.1,32,,,,,
101-150,101-150,Universidad de Sevilla,Spain,51.9,51+,32.7,51+,71.1,51+,,,,,
101-150,151-160,Universidad Iberoamericana IBERO,Mexico,49.0,51+,44.3,51+,,,,,,,
101-150,101-150,Universidad Nacional de La Plata (UNLP),Argentina,49.7,51+,37.9,51+,60.8,51+,,,,,
101-150,101-150,Universidad San Francisco de Quito (USFQ),Ecuador,50.6,51+,46.6,51+,,,,,,,
101-150,,Universidad San Ignacio de Loyola,Peru,52.4,51+,41.6,51+,,,,,,,
101-150,151-160,Università IULM,Italy,44.0,51+,45.0,51+,72.0,51+,,,,,
101-150,,Universiti Sains Malaysia (USM),Malaysia,50.7,51+,31.8,51+,93.1,2,,,,,
101-150,51-100,Universiti Teknologi MARA - UiTM,Malaysia,51.1,51+,35.8,51+,60.4,51+,,,,,
101-150,101-150,University of Alberta,Canada,52.5,51+,38.5,51+,53.0,51+,,,,,
101-150,51-100,University of Alicante,Spain,48.8,51+,37.3,51+,72.4,51+,,,,,
101-150,,University of Bristol,United Kingdom,51.2,51+,33.2,51+,74.2,51+,,,,,
101-150,51-100,University of Calgary,Canada,45.5,51+,42.3,51+,51.2,51+,,,,,
101-150,,University of Delaware,United States of America,44.1,51+,42.0,51+,77.7,51+,,,,,
101-150,101-150,University of Denver,United States of America,43.3,51+,40.9,51+,72.5,51+,,,,,
101-150,101-150,University of Galway,Ireland,44.3,51+,52.6,31=,,,,,,,
101-150,151-160,University of Johannesburg,South Africa,51.5,51+,37.6,51+,77.8,51+,,,,,
101-150,51-100,University of Jordan,Jordan,43.9,51+,44.2,51+,64.4,51+,,,,,
101-150,51-100,University of Lausanne,Switzerland,48.2,51+,44.2,51+,50.3,51+,,,,,
101-150,51-100,Victoria University of Wellington,New Zealand,45.5,51+,41.4,51+,70.5,51+,,,,,
101-150,,Xiamen University,China (Mainland),53.9,51+,32.8,51+,78.7,48,,,,,
151-175,,Asia Pacific Management Institute,Singapore,40.8,51+,47.9,46=,,,,,,,
151-175,,Curtin University,Australia,47.4,51+,35.7,51+,78.6,49,,,,,
151-175,101-150,Edinburgh Napier University,United Kingdom,50.4,51+,32.1,51+,72.3,51+,,,,,
151-175,,Georgia State University | Cecil B. Day School of Hospitality Administration,United States of America,40.4,51+,41.6,51+,74.2,51+,,,,,
151-175,101-150,HSE University,Russian Federation,42.3,51+,40.4,51+,65.5,51+,,,,,
151-175,101-150,Instituto Politécnico Nacional (IPN),Mexico,42.7,51+,43.1,51+,45.3,51+,,,,,
151-175,,Iowa State University,United States of America,46.4,51+,35.2,51+,78.9,46=,,,,,
151-175,,La Trobe University,Australia,46.0,51+,38.5,51+,65.9,51+,,,,,
151-175,,Loughborough University,United Kingdom,49.5,51+,34.7,51+,68.4,51+,,,,,
151-175,,Nankai University,China (Mainland),57.1,51+,25.7,51+,74.6,51+,,,,,
151-175,,National and Kapodistrian University of Athens,Greece,39.9,51+,42.3,51+,71.4,51+,,,,,
151-175,,Pontificia Universidad Javeriana,Colombia,45.7,51+,43.9,51+,,,,,,,
151-175,,Universidad Argentina de la Empresa -UADE,Argentina,40.7,51+,48.6,43,,,,,,,
151-175,,Universidad Autónoma de Baja California,Mexico,45.0,51+,41.5,51+,24.6,51+,,,,,
151-175,101-150,Universidad de Guadalajara (UDG),Mexico,50.8,51+,35.6,51+,31.0,51+,,,,,
151-175,101-150,Universidad Panamericana (UP),Mexico,48.0,51+,42.6,51+,,,,,,,
151-175,,Université Grenoble Alpes,France,46.3,51+,37.8,51+,52.9,51+,,,,,
151-175,,University of Granada,Spain,51.5,51+,30.9,51+,79.2,44,,,,,
151-175,,University of Greenwich,United Kingdom,44.0,51+,37.2,51+,82.8,26,,,,,
151-175,,University of Michigan-Ann Arbor,United States of America,47.5,51+,37.5,51+,53.1,51+,,,,,
151-175,,"University of North Carolina, Chapel Hill",United States of America,36.4,51+,46.0,51+,59.4,51+,,,,,
151-175,101-150,University of South Australia,Australia,46.5,51+,34.7,51+,90.1,6,,,,,
151-175,,University of the West of England,United Kingdom,39.2,51+,42.0,51+,72.6,51+,,,,,
151-175,,Western Sydney University,Australia,47.8,51+,36.7,51+,65.2,51+,,,,,
