2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-275,201-250,University of Bordeaux,France,60.8,51+,62.2,51+,86.3,51+,72.4,51+,53.9,51+,
201-275,201-250,University of Cologne,Germany,56.2,51+,57.0,51+,83.7,51+,74.2,51+,65.2,51+,
201-275,,University of Connecticut,United States of America,59.3,51+,45.6,51+,90.6,49=,75.8,51+,45.4,51+,
201-275,201-250,University of Granada,Spain,62.4,51+,59.8,51+,78.9,51+,70.8,51+,61.5,51+,
201-275,201-250,University of Groningen,Netherlands,56.2,51+,64.7,51+,87.9,51+,72.4,51+,58.2,51+,
201-275,201-250,University of Lisbon,Portugal,54.2,51+,59.7,51+,85.4,51+,85.1,51+,74.2,17,
201-275,201-250,"University of Maryland, Baltimore County",United States of America,61.3,51+,40.3,51+,91.0,43=,76.1,51+,57.8,51+,
201-275,201-250,University of Massachusetts Amherst,United States of America,58.4,51+,61.9,51+,84.6,51+,72.1,51+,51.0,51+,
201-275,201-250,University of Milan,Italy,62.2,51+,74.7,51+,82.4,51+,68.1,51+,44.1,51+,
201-275,201-250,University of Milano-Bicocca,Italy,60.5,51+,57.4,51+,87.4,51+,74.2,51+,54.9,51+,
201-275,201-250,University of Nottingham,United Kingdom,56.4,51+,71.8,51+,84.4,51+,73.0,51+,54.6,51+,
201-275,151-200,University of Oregon,United States of America,63.7,51+,65.2,51+,86.3,51+,71.1,51+,41.3,51+,
201-275,151-200,University of Otago,New Zealand,71.4,51+,70.1,51+,80.3,51+,65.0,51+,36.1,51+,
201-275,151-200,University of Pennsylvania,United States of America,68.7,51+,74.9,51+,81.2,51+,63.0,51+,41.8,51+,
201-275,151-200,University of Pisa,Italy,64.9,51+,77.2,51+,76.9,51+,68.4,51+,64.5,51+,
201-275,201-250,University of Saskatchewan,Canada,57.2,51+,60.3,51+,91.2,41=,76.4,51+,50.1,51+,
201-275,151-200,University of Southern California,United States of America,58.8,51+,66.5,51+,84.2,51+,74.2,51+,53.1,51+,
201-275,201-250,University of Tsukuba,Japan,65.1,51+,58.0,51+,88.0,51+,72.7,51+,50.8,51+,
201-275,201-250,University of Utah,United States of America,65.1,51+,46.3,51+,84.9,51+,75.3,51+,54.6,51+,
201-275,201-250,University of Victoria (UVic),Canada,58.2,51+,61.1,51+,87.0,51+,75.3,51+,51.0,51+,
201-275,201-250,University of Witwatersrand,South Africa,64.9,51+,54.1,51+,80.5,51+,73.9,51+,54.1,51+,
201-275,201-250,University of Wollongong,Australia,62.4,51+,64.9,51+,86.4,51+,74.5,51+,56.2,51+,
201-275,201-250,University of York,United Kingdom,53.9,51+,58.7,51+,90.4,51+,75.0,51+,54.5,51+,
201-275,,Vrije Universiteit Brussel (VUB),Belgium,60.0,51+,57.4,51+,81.9,51+,68.1,51+,61.6,51+,
201-275,,Washington University in St. Louis,United States of America,60.9,51+,63.1,51+,84.4,51+,67.7,51+,41.1,51+,
201-275,201-250,Western University,Canada,58.8,51+,63.2,51+,80.7,51+,68.8,51+,54.8,51+,
201-275,,Xiamen University,China (Mainland),71.9,51+,51.4,51+,81.2,51+,73.3,51+,41.3,51+,
